Time(%),Total Time (ns),Operations,Average,Minimum,Maximum,StdDev,Operation
74.4,35067,9,3896.3,1856,6624,1760.7,[CUDA Unified Memory memcpy HtoD]
25.6,12094,3,4031.3,1183,7999,3543.2,[CUDA Unified Memory memcpy DtoH]
