Time(%),Total Time (ns),Operations,Average,Minimum,Maximum,StdDev,Operation
73.9,34332,9,3814.7,1856,6304,1724.5,[CUDA Unified Memory memcpy HtoD]
26.1,12094,3,4031.3,1120,9823,5015.8,[CUDA Unified Memory memcpy DtoH]
