Total,Operations,Average,Minimum,Maximum,StdDev,Operation
256.000,9,28.444,4.000,60.000,21.949,[CUDA Unified Memory memcpy HtoD]
128.000,3,42.667,4.000,100.000,50.649,[CUDA Unified Memory memcpy DtoH]
