Total,Operations,Average,Minimum,Maximum,StdDev,Operation
256.000,9,28.444,4.000,60.000,20.731,[CUDA Unified Memory memcpy HtoD]
128.000,3,42.667,4.000,96.000,47.721,[CUDA Unified Memory memcpy DtoH]
