Time(%),Total Time (ns),Operations,Average,Minimum,Maximum,StdDev,Operation
74.5,35578,9,3953.1,1888,6688,1767.2,[CUDA Unified Memory memcpy HtoD]
25.5,12158,3,4052.7,1215,8415,3834.5,[CUDA Unified Memory memcpy DtoH]
