Time(%),Total Time (ns),Operations,Average,Minimum,Maximum,StdDev,Operation
74.6,35227,9,3914.1,1887,6432,1671.7,[CUDA Unified Memory memcpy HtoD]
25.4,11998,3,3999.3,1247,7935,3497.5,[CUDA Unified Memory memcpy DtoH]
